corpus,label,count
crema_d,anger,1271
crema_d,disgust,1271
crema_d,fear,1271
crema_d,happiness,1271
crema_d,neutral,1087
crema_d,sadness,1271
ravdess,anger,384
ravdess,calm,384
ravdess,disgust,384
ravdess,fear,384
ravdess,happiness,384
ravdess,neutral,192
ravdess,sadness,384
ravdess,surprise,384
savee,anger,60
savee,disgust,60
savee,fear,60
savee,happiness,60
savee,neutral,120
savee,sadness,60
savee,surprise,60
tess,anger,400
tess,disgust,400
tess,fear,400
tess,happiness,400
tess,neutral,400
tess,sadness,400
tess,surprise,400
