n_total,n_known,n_unknown,accuracy,macro_f1,uar,balanced_accuracy,nll,brier,ece,coverage,avg_prediction_set_size,singleton_rate,auto_coverage,selective_risk,selective_macro_f1,unknown_auroc,unknown_aupr,unknown_fpr95,holdout,ablation,seed,best_val_domain_macro_f1,temperature,trainable_parameters,n_source_corpora,feature_layers,implementation_version,config_digest,run_dir,predictions_path
7442,7442,0,0.40916420317119057,0.39563928923556624,0.4055070160162384,0.4055070160162384,1.922083022007351,0.8979259322279339,0.35925440453403384,0.5499865627519483,1.4064767535608707,0.6701155603332437,0.6639344262295082,0.5851042299129731,0.3804902907757605,,,,crema_d,full_DIMAP-C,42,0.8556164922625614,1.2622266400196567,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,f946b87176ccd016554e52f04648ae54008affed912f5a1d838b7621805cc01f,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_crema_d__seed_42,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_crema_d__seed_42\predictions.csv
7442,7442,0,0.42394517602794946,0.4138190091810738,0.42321648859720934,0.42321648859720934,1.9558546353976496,0.8922674434233155,0.3265908230651742,0.5714861596345069,1.6852996506315507,0.6378661650094061,0.6378661650094061,0.5171687381504109,0.46354667318269077,,,,crema_d,full_DIMAP-C,52,0.8819387560214705,1.1926654937035654,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,63278df8ab2017a944730ae6ae9a5f0e9dd3375743c1456bfab7ea21c8a0a989,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_crema_d__seed_52,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_crema_d__seed_52\predictions.csv
7442,7442,0,0.42878258532652513,0.4147300729428911,0.42573969215372487,0.42573969215372487,2.0301232618373657,0.9199224382427457,0.3912436948191636,0.4638538027411986,1.6486159634506854,0.4828003224939532,0.4795753829615695,0.5519753432333987,0.38398014198663244,,,,crema_d,full_DIMAP-C,62,0.9027876956233736,1.2269532015463493,1874921,3,"[4, 8, 12]",DIMAP-C-v2.0,30a81cbdfe0c497aa5980809562a9920affc3159dfe9a54bc12c2cfb07d826e5,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_crema_d__seed_62,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_crema_d__seed_62\predictions.csv
2880,2112,768,0.5662878787878788,0.5697007466332623,0.5789930555555556,0.5789930555555556,1.2998826525947145,0.6419423109501263,0.20604989588768644,0.7831439393939394,1.6846590909090908,0.5075757575757576,0.5075757575757576,0.26679104477611937,0.7111112519552417,0.5722952178030303,0.3028087027846772,0.8125,ravdess,full_DIMAP-C,42,0.8738673706374,1.2622266400196567,1887852,3,"[4, 8, 12]",DIMAP-C-v2.0,6f1cf92b57ece220ac86bda275548665dd61ada603a356662d4eb6dc21126a11,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_ravdess__seed_42,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_ravdess__seed_42\predictions.csv
2880,2112,768,0.6448863636363636,0.6378776292919258,0.6614583333333333,0.6614583333333333,1.0729263547109957,0.5096703644797295,0.10671231802552938,0.8352272727272727,1.9289772727272727,0.4715909090909091,0.4715909090909091,0.16666666666666663,0.7679336839909733,0.5438614662247475,0.279613651914409,0.9043560606060606,ravdess,full_DIMAP-C,52,0.889771402979509,1.2985141477012776,1887852,3,"[4, 8, 12]",DIMAP-C-v2.0,b69d045e00281a2cb46fe24cc6a0701fd9e5e7abb732a7df1cd283715afc9b05,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_ravdess__seed_52,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_ravdess__seed_52\predictions.csv
2880,2112,768,0.5492424242424242,0.5410444400837241,0.5789930555555555,0.5789930555555555,1.4710499217703112,0.691837471561108,0.2701401538356687,0.6903409090909091,1.324810606060606,0.709280303030303,0.709280303030303,0.34979973297730305,0.610727916532766,0.5341870857007576,0.28013774790731993,0.9176136363636364,ravdess,full_DIMAP-C,62,0.8980536027425727,1.0648324543041692,1887852,3,"[4, 8, 12]",DIMAP-C-v2.0,ae936f9f0c118a110c62ca42afed2a0551655579d3076f739a8a734e93f9a886,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_ravdess__seed_62,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_ravdess__seed_62\predictions.csv
2800,2400,400,0.4266666666666667,0.37589592998669774,0.4266666666666667,0.4266666666666667,1.8634662089959761,0.8657791888602384,0.3560975616549452,0.5845833333333333,1.6320833333333333,0.4375,0.4375,0.4828571428571429,0.35303928870651297,0.4733614583333333,0.13287160686441815,0.9591666666666666,tess,full_DIMAP-C,42,0.8289735185487291,1.2622266400196567,1892098,3,"[4, 8, 12]",DIMAP-C-v2.0,37af179dde19c2bb684f91069915042673f34c2f4f00ccc3bc8aa3fc75f0349d,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_tess__seed_42,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_tess__seed_42\predictions.csv
2800,2400,400,0.5233333333333333,0.44237365569793735,0.5233333333333333,0.5233333333333333,1.5041847491681792,0.6955932739911825,0.2272337711478273,0.6891666666666667,1.8466666666666667,0.425,0.425,0.2990196078431373,0.5152842169735019,0.6132104166666666,0.1837827008183558,0.7725,tess,full_DIMAP-C,52,0.8375991440328887,1.335844877869253,1892098,3,"[4, 8, 12]",DIMAP-C-v2.0,a0051151b7cff6f7232f9f10275c0df681f8168c955b36767089d60db6751d55,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_tess__seed_52,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_tess__seed_52\predictions.csv
2800,2400,400,0.45708333333333334,0.4039062467521885,0.4570833333333333,0.4570833333333333,1.7821198730227956,0.8354248632961969,0.34171605700006086,0.6029166666666667,1.56375,0.50875,0.50875,0.45618345618345624,0.41606218874539946,0.5771197916666666,0.17335297704043118,0.9208333333333333,tess,full_DIMAP-C,62,0.842594109866564,1.1926654937035654,1892098,3,"[4, 8, 12]",DIMAP-C-v2.0,8b248ce8cdccd45b229da25cc8869b455a002c3e6710422ee2ce71681a872647,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_tess__seed_62,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_tess__seed_62\predictions.csv
480,420,60,0.6,0.5738806967198989,0.5833333333333334,0.5833333333333334,1.1238182504262075,0.5601945433680772,0.11565915622881481,0.7642857142857142,1.6714285714285715,0.4595238095238095,0.4595238095238095,0.2227979274611399,0.7321167806199192,0.4934523809523809,0.13673839331131016,0.930952380952381,savee,full_DIMAP-C,42,0.8569598549148746,1.1593359698466341,1891712,3,"[4, 8, 12]",DIMAP-C-v2.0,10fc22f742bff6c8b311a7ccf83869130063f8bed391306743a3869caf4d3c76,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_savee__seed_42,C:\Users\Dell\OneDrive\Desktop\Paper 3\AffectBridge-UQ\outputs\runs\full_DIMAP-C__holdout_savee__seed_42\predictions.csv
